,codigo_establecimiento,codigo_ss,nombre_ss,nombre_establecimiento,nombre_comuna
2474,113339.0,13.0,Servicio de Salud Metropolitano Sur,COSAM San Bernardo,San Bernardo
2475,113315.0,13.0,Servicio de Salud Metropolitano Sur,Centro de Salud Familiar Confraternidad,San Bernardo
2476,113815.0,13.0,Servicio de Salud Metropolitano Sur,SAPU Confraternidad,San Bernardo
2477,106314.0,6.0,Servicio de Salud Valparaíso San Antonio,Centro de Salud Familiar San Antonio,San Antonio
2478,114311.0,14.0,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Santiago de Nueva Extremadura,La Pintana
2479,114811.0,14.0,Servicio de Salud Metropolitano Sur Oriente,SAPU Santiago de Nueva Extremadura,La Pintana
2480,200468.0,14.0,Servicio de Salud Metropolitano Sur Oriente,COSAM CEIF Puente Alto Norte,Puente Alto
2481,106103.0,6.0,Servicio de Salud Valparaíso San Antonio,Hospital Claudio Vicuña ( San Antonio),San Antonio
2482,200716.0,5.0,SEREMI De Valparaíso,Clínica Intermedical,San Antonio
2483,114209.0,13.0,SEREMI Metropolitana de Santiago,Clínica Santa Elena,La Pintana
2484,113247.0,13.0,SEREMI Metropolitana de Santiago,Centro Asistencial AChS San Bernardo,San Bernardo
2485,114318.0,14.0,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Flor Fernández,La Pintana
2486,113832.0,13.0,Servicio de Salud Metropolitano Sur,SAPU Juan Pablo II,San Bernardo
2487,113181.0,13.0,Servicio de Salud Metropolitano Sur,Centro de Referencia de Salud El Pino,San Bernardo
2488,113332.0,13.0,Servicio de Salud Metropolitano Sur,Centro de Salud Familiar Juan Pablo II ( San Bernardo),San Bernardo
2489,113180.0,13.0,Servicio de Salud Metropolitano Sur,"Hospital El Pino (Santiago, San Bernardo)",San Bernardo
2490,106204.0,5.0,SEREMI De Valparaíso,Clínica San Julián,San Antonio
2491,114320.0,14.0,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Bernardo Leighton,Puente Alto
2492,114822.0,14.0,Servicio de Salud Metropolitano Sur Oriente,SAR Padre Manuel Villaseca,Puente Alto
2493,114820.0,14.0,Servicio de Salud Metropolitano Sur Oriente,SAPU Bernardo Leighton,Puente Alto
2494,114322.0,14.0,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Padre Manuel Villaseca,Puente Alto
2495,114609.0,14.0,Servicio de Salud Metropolitano Sur Oriente,COSAM La Pintana,La Pintana
2496,113323.0,13.0,Servicio de Salud Metropolitano Sur,Centro de Salud Familiar Dr. Mario Salcedo,El Bosque
2497,106256.0,5.0,SEREMI De Valparaíso,Centro de Salud Asociación Triomar,San Antonio
2498,106205.0,5.0,SEREMI De Valparaíso,Clínica San Antonio,San Antonio
2499,114808.0,14.0,Servicio de Salud Metropolitano Sur Oriente,SAPU San Rafael,La Pintana
2500,114308.0,14.0,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar San Rafael,La Pintana
2501,113170.0,13.0,Servicio de Salud Metropolitano Sur,"Hospital Psiquiátrico El Peral (Santiago, Puente Alto)",Puente Alto
2502,106736.0,6.0,Servicio de Salud Valparaíso San Antonio,Centro Comunitario de Salud Familiar Cerro Alegre,San Antonio
2503,113253.0,13.0,SEREMI Metropolitana de Santiago,Centro Médico y Dental MegaSalud San Bernardo,San Bernardo
2504,113329.0,13.0,Servicio de Salud Metropolitano Sur,Centro de Salud Familiar Canciller Orlando Letelier,El Bosque
2505,113251.0,13.0,SEREMI Metropolitana de Santiago,Clínica Astra San Bernardo,San Bernardo
2506,200712.0,14.0,Servicio de Salud Metropolitano Sur Oriente,Hospital Sotero del Río (Otro Dispositivo),Puente Alto
2507,114101.0,14.0,Servicio de Salud Metropolitano Sur Oriente,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Puente Alto
2508,114030.0,14.0,Servicio de Salud Metropolitano Sur Oriente,Unidad de Salud FuncionarioS.S Metropolitano Sur Oriente,Puente Alto
2509,114010.0,14.0,Servicio de Salud Metropolitano Sur Oriente,Actividades gestionadas por la Dirección del Servicio para apoyo de la Red (S.S Metropolitano Sur Oriente),Puente Alto
2510,114011.0,14.0,Servicio de Salud Metropolitano Sur Oriente,PRAIS (S.S Metropolitano Sur Oriente),Puente Alto
