,descripcion_prestacion,IdServicio,IdEstablecimiento,CodigoPrestacion,IdRegion,IdComuna,TOTAL,De 0 a 29 días,De 1 mes a 2 meses 29 días,De 3 meses a 5 meses 29 días,De 6 meses a 11 meses 29 días,De 1 a 2 años,Gestantes,Pueblos Originarios,Migrantes,nombre_ss,nombre_establecimiento,nombre_comuna
7345,Consejería de Lactancia - Consejería posnatal en Lactancia Materna,9,109316,09600289,13,13301,1,0,0,1,0,0,,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Esmeralda,Colina
7346,Consulta de Lactancia - Consulta Lactancia Materna de alerta,9,109316,04040420,13,13301,7,3,2,2,0,0,,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Esmeralda,Colina
7347,Consulta de Lactancia - Consulta de Lactancia Materna de seguimiento,9,109316,04040421,13,13301,9,1,2,6,0,0,,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Esmeralda,Colina
7348,Consulta de Lactancia - Otras consultas de Lactancia Materna,9,109316,09600287,13,13301,11,3,5,2,1,0,,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Esmeralda,Colina
7349,Consulta de Lactancia por profesional  - Matrona/ón,9,109316,04040424,13,13301,5,4,1,0,0,0,0,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Esmeralda,Colina
7350,Consulta de Lactancia por profesional  - Enfermera/o,9,109316,04040425,13,13301,22,3,8,10,1,0,0,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Esmeralda,Colina
7351,Consulta de Lactancia - Consulta Lactancia Materna de alerta,9,109316,04040420,13,13301,13,2,3,2,6,0,,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Esmeralda,Colina
7352,Consulta de Lactancia - Consulta de Lactancia Materna de seguimiento,9,109316,04040421,13,13301,12,2,4,5,1,0,,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Esmeralda,Colina
7353,Consulta de Lactancia - Otras consultas de Lactancia Materna,9,109316,09600287,13,13301,10,2,3,5,0,0,,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Esmeralda,Colina
7354,Consulta de Lactancia por profesional  - Matrona/ón,9,109316,04040424,13,13301,2,2,0,0,0,0,0,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Esmeralda,Colina
7355,Consejería de Lactancia - Consejería posnatal en Lactancia Materna,9,109316,09600289,13,13301,2,1,1,0,0,0,,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Esmeralda,Colina
7356,Consulta de Lactancia - Consulta Lactancia Materna de alerta,9,109316,04040420,13,13301,13,5,1,7,0,0,,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Esmeralda,Colina
7357,Consulta de Lactancia - Consulta de Lactancia Materna de seguimiento,9,109316,04040421,13,13301,9,1,3,1,4,0,,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Esmeralda,Colina
7358,Consulta de Lactancia - Otras consultas de Lactancia Materna,9,109316,09600287,13,13301,7,2,4,1,0,0,,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Esmeralda,Colina
7359,Consejería de Lactancia - Consejería posnatal en Lactancia Materna,9,109316,09600289,13,13301,1,0,1,0,0,0,,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Esmeralda,Colina
7360,Consulta de Lactancia por profesional  - Matrona/ón,9,109316,04040424,13,13301,2,2,0,0,0,0,0,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Esmeralda,Colina
7361,Consulta de Lactancia por profesional  - Enfermera/o,9,109316,04040425,13,13301,27,6,8,9,4,0,0,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Esmeralda,Colina
7362,Consulta de Lactancia - Consulta Lactancia Materna de alerta,9,109316,04040420,13,13301,5,1,1,2,1,0,,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Esmeralda,Colina
7363,Consulta de Lactancia - Consulta de Lactancia Materna de seguimiento,9,109316,04040421,13,13301,15,0,9,2,4,0,,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Esmeralda,Colina
7364,Consulta de Lactancia - Otras consultas de Lactancia Materna,9,109316,09600287,13,13301,9,0,4,2,3,0,,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Esmeralda,Colina
7365,Consulta de Lactancia por profesional  - Matrona/ón,9,109316,04040424,13,13301,1,1,0,0,0,0,0,0,0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Esmeralda,Colina
