,descripcion_prestacion,IdServicio,IdEstablecimiento,CodigoPrestacion,IdRegion,IdComuna,Maternidad,Neonatología,Pueblos originarios,Migrantes,nombre_ss,nombre_establecimiento,nombre_comuna,codigo_deis_establecimiento,codigo_deis_comuna,codigo_deis_servicio
54,RN egresados con LME durante hospitalización y al alta,11,111100,24300103,13,13101,139,0,0,117,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago,111100,13101,11
55,RN egresados que recuperaron LME al alta,11,111100,24311025,13,13101,66,12,1,70,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago,111100,13101,11
56,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),11,111100,24311027,13,13101,0,2,0,1,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago,111100,13101,11
57,RN egresados con madres serología positiva (VIH),11,111100,29101770,13,13101,0,2,0,2,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago,111100,13101,11
58,RN egresados solo fórmula por protección o madre grave,11,111100,24311028,13,13101,0,1,0,1,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago,111100,13101,11
59,Total de recién nacidos/as egresados/as,14,114105,24200134,13,13110,164,34,4,43,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida,114105,13110,14
60,RN egresados con LME durante hospitalización y al alta,14,114105,24300103,13,13110,127,0,2,29,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida,114105,13110,14
61,RN egresados que recuperaron LME al alta,14,114105,24311025,13,13110,0,18,0,1,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida,114105,13110,14
62,RN egresados con lactancia mixta al alta,14,114105,24311026,13,13110,35,10,0,11,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida,114105,13110,14
63,RN egresados con madres serología positiva (VIH),14,114105,29101770,13,13110,1,0,0,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida,114105,13110,14
64,RN egresados con madres acogidas a Ley 21.155,14,114105,29101772,13,13110,1,2,0,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida,114105,13110,14
65,RN egresados solo fórmula por protección o madre grave,14,114105,24311028,13,13110,0,3,0,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida,114105,13110,14
66,Total de recién nacidos/as egresados/as,14,114105,24200134,13,13110,150,36,4,54,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida,114105,13110,14
67,RN egresados con LME durante hospitalización y al alta,14,114105,24300103,13,13110,124,0,4,29,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida,114105,13110,14
68,RN egresados que recuperaron LME al alta,14,114105,24311025,13,13110,124,15,4,36,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida,114105,13110,14
69,RN egresados con lactancia mixta al alta,14,114105,24311026,13,13110,25,16,0,8,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida,114105,13110,14
70,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),14,114105,24311027,13,13110,1,0,0,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida,114105,13110,14
71,RN egresados solo fórmula por protección o madre grave,14,114105,24311028,13,13110,0,5,0,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida,114105,13110,14
72,Total de recién nacidos/as egresados/as,14,114105,24200134,13,13110,152,33,5,44,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida,114105,13110,14
73,RN egresados con LME durante hospitalización y al alta,14,114105,24300103,13,13110,114,13,5,31,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida,114105,13110,14
74,RN egresados que recuperaron LME al alta,14,114105,24311025,13,13110,0,13,0,3,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida,114105,13110,14
75,RN egresados con lactancia mixta al alta,14,114105,24311026,13,13110,38,20,0,13,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida,114105,13110,14
76,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),14,114105,24311027,13,13110,0,1,0,1,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida,114105,13110,14
77,RN egresados con madres serología positiva (VIH),14,114105,29101770,13,13110,0,1,0,1,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida,114105,13110,14
78,RN egresados con madres acogidas a Ley 21.155,14,114105,29101772,13,13110,0,1,0,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida,114105,13110,14
79,RN egresados solo fórmula por protección o madre grave,14,114105,24311028,13,13110,0,2,0,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida,114105,13110,14
80,Total de recién nacidos/as egresados/as,14,114105,24200134,13,13110,158,29,2,40,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida,114105,13110,14
81,RN egresados con LME durante hospitalización y al alta,14,114105,24300103,13,13110,130,0,2,27,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida,114105,13110,14
82,RN egresados que recuperaron LME al alta,14,114105,24311025,13,13110,0,10,0,4,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida,114105,13110,14
83,RN egresados con lactancia mixta al alta,14,114105,24311026,13,13110,27,11,0,9,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida,114105,13110,14
84,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),14,114105,24311027,13,13110,0,1,0,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida,114105,13110,14
85,RN egresados solo fórmula por protección o madre grave,14,114105,24311028,13,13110,1,2,0,0,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida,114105,13110,14
86,Total de recién nacidos/as egresados/as,14,114105,24200134,13,13110,149,33,4,41,Servicio de Salud Metropolitano Sur Oriente,Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza,La Florida,114105,13110,14
