,descripcion_prestacion,IdServicio,IdEstablecimiento,CodigoPrestacion,IdRegion,IdComuna,Maternidad,Neonatología,Pueblos originarios,Migrantes,nombre_ss,nombre_establecimiento,nombre_comuna,codigo_deis_establecimiento,codigo_deis_comuna,codigo_deis_servicio
403,RN egresados con LME durante hospitalización y al alta,11,111101,24300103,13,13119,103,,4,27,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú,111101,13119,11
404,RN egresados que recuperaron LME al alta,11,111101,24311025,13,13119,12,11,0,5,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú,111101,13119,11
405,RN egresados con lactancia mixta al alta,11,111101,24311026,13,13119,20,31,1,5,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú,111101,13119,11
406,Total de recién nacidos/as egresados/as,11,111100,24200134,13,13101,183,60,1,189,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago,111100,13101,11
407,RN egresados con LME durante hospitalización y al alta,11,111100,24300103,13,13101,112,0,0,92,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago,111100,13101,11
408,RN egresados que recuperaron LME al alta,11,111100,24311025,13,13101,65,17,1,63,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago,111100,13101,11
409,RN egresados con lactancia mixta al alta,11,111100,24311026,13,13101,6,34,0,31,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago,111100,13101,11
410,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),11,111100,24311027,13,13101,0,1,0,0,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago,111100,13101,11
411,RN egresados con madres serología positiva (VIH),11,111100,29101770,13,13101,0,1,0,0,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago,111100,13101,11
412,RN egresados solo fórmula por protección o madre grave,11,111100,24311028,13,13101,0,6,0,2,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago,111100,13101,11
413,Total de recién nacidos/as egresados/as,11,111100,24200134,13,13101,200,39,1,187,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago,111100,13101,11
414,RN egresados con LME durante hospitalización y al alta,11,111100,24300103,13,13101,118,0,1,90,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago,111100,13101,11
415,RN egresados que recuperaron LME al alta,11,111100,24311025,13,13101,75,15,0,68,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago,111100,13101,11
416,RN egresados con lactancia mixta al alta,11,111100,24311026,13,13101,6,20,0,18,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago,111100,13101,11
417,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),11,111100,24311027,13,13101,1,1,0,2,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago,111100,13101,11
418,RN egresados con madres serología positiva (VIH),11,111100,29101770,13,13101,0,2,0,1,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago,111100,13101,11
419,RN egresados solo fórmula por protección o madre grave,11,111100,24311028,13,13101,0,1,0,0,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago,111100,13101,11
420,Total de recién nacidos/as egresados/as,11,111101,24200134,13,13119,127,38,5,29,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú,111101,13119,11
421,RN egresados con LME durante hospitalización y al alta,11,111101,24300103,13,13119,104,,5,22,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú,111101,13119,11
422,RN egresados que recuperaron LME al alta,11,111101,24311025,13,13119,14,8,0,5,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú,111101,13119,11
423,RN egresados con lactancia mixta al alta,11,111101,24311026,13,13119,7,29,0,2,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú,111101,13119,11
424,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),11,111101,24311027,13,13119,2,0,0,0,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú,111101,13119,11
425,RN egresados solo fórmula por protección o madre grave,11,111101,24311028,13,13119,,1,0,0,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú,111101,13119,11
426,Total de recién nacidos/as egresados/as,11,111100,24200134,13,13101,207,51,0,200,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago,111100,13101,11
427,RN egresados con LME durante hospitalización y al alta,11,111100,24300103,13,13101,114,0,0,89,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago,111100,13101,11
428,RN egresados que recuperaron LME al alta,11,111100,24311025,13,13101,81,17,0,80,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago,111100,13101,11
429,RN egresados con lactancia mixta al alta,11,111100,24311026,13,13101,10,24,0,21,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago,111100,13101,11
430,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),11,111100,24311027,13,13101,0,1,0,1,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago,111100,13101,11
431,RN egresados con madres serología positiva (VIH),11,111100,29101770,13,13101,0,1,0,1,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago,111100,13101,11
432,RN egresados con madres acogidas a Ley 21.155,11,111100,29101772,13,13101,2,0,0,2,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago,111100,13101,11
433,RN egresados solo fórmula por protección o madre grave,11,111100,24311028,13,13101,0,6,0,5,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago,111100,13101,11
434,Total de recién nacidos/as egresados/as,11,111100,24200134,13,13101,204,48,1,190,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago,111100,13101,11
435,RN egresados con LME durante hospitalización y al alta,11,111100,24300103,13,13101,131,0,0,105,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago,111100,13101,11
436,RN egresados que recuperaron LME al alta,11,111100,24311025,13,13101,67,17,1,59,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago,111100,13101,11
437,RN egresados con lactancia mixta al alta,11,111100,24311026,13,13101,4,25,0,21,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago,111100,13101,11
438,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),11,111100,24311027,13,13101,0,2,0,2,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago,111100,13101,11
439,RN egresados con madres serología positiva (VIH),11,111100,29101770,13,13101,0,1,0,1,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago,111100,13101,11
440,RN egresados con madres acogidas a Ley 21.155,11,111100,29101772,13,13101,1,0,0,1,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago,111100,13101,11
441,RN egresados solo fórmula por protección o madre grave,11,111100,24311028,13,13101,1,1,0,1,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago,111100,13101,11
442,Total de recién nacidos/as egresados/as,11,111101,24200134,13,13119,167,30,14,36,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú,111101,13119,11
443,RN egresados con LME durante hospitalización y al alta,11,111101,24300103,13,13119,125,0,10,25,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú,111101,13119,11
444,RN egresados que recuperaron LME al alta,11,111101,24311025,13,13119,12,3,2,3,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú,111101,13119,11
445,RN egresados con lactancia mixta al alta,11,111101,24311026,13,13119,29,27,1,8,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú,111101,13119,11
446,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),11,111101,24311027,13,13119,1,0,1,0,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú,111101,13119,11
