,Mes,IdServicio,Ano,IdEstablecimiento,CodigoPrestacion,IdRegion,IdComuna,Col01,Col02,Col03,1° mes,3° mes,6° mes,Col07,Col08,Col09,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,nombre_ss,nombre_establecimiento,nombre_comuna,Prestación
5434125,1,14,2024,114332,A0200001,13,13201,70.0,9.0,7.0,13.0,9.0,21.0,7.0,4.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Laurita Vicuña,Puente Alto,MENORES CONTROLADOS
5434145,2,14,2024,114301,A0200002,13,13201,96.0,35.0,2.0,26.0,10.0,23.0,,,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Dr. Alejandro del Río,Puente Alto,LACTANCIA MATERNA EXCLUSIVA
5434169,2,14,2024,114301,A0200001,13,13201,187.0,39.0,7.0,46.0,23.0,44.0,20.0,8.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Dr. Alejandro del Río,Puente Alto,MENORES CONTROLADOS
5434191,1,14,2024,114329,A0200001,13,13201,67.0,,,12.0,13.0,19.0,8.0,15.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar San Alberto Hurtado Red de Salud UC CHRISTUS,Puente Alto,MENORES CONTROLADOS
5434310,1,14,2024,114329,A0200002,13,13201,27.0,,,5.0,11.0,11.0,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar San Alberto Hurtado Red de Salud UC CHRISTUS,Puente Alto,LACTANCIA MATERNA EXCLUSIVA
5434508,1,14,2024,114313,A0200002,13,13201,47.0,10.0,4.0,12.0,7.0,14.0,,,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Vista Hermosa,Puente Alto,LACTANCIA MATERNA EXCLUSIVA
5434808,1,14,2024,114332,A0200002,13,13201,32.0,6.0,3.0,6.0,3.0,14.0,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Laurita Vicuña,Puente Alto,LACTANCIA MATERNA EXCLUSIVA
5434903,10,14,2024,114329,A0200002,13,13201,24.0,6.0,0.0,5.0,8.0,5.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar San Alberto Hurtado Red de Salud UC CHRISTUS,Puente Alto,LACTANCIA MATERNA EXCLUSIVA
5434908,10,14,2024,114329,A0200001,13,13201,60.0,10.0,0.0,10.0,15.0,9.0,9.0,7.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar San Alberto Hurtado Red de Salud UC CHRISTUS,Puente Alto,MENORES CONTROLADOS
5435043,11,14,2024,114329,A0200002,13,13201,27.0,6.0,0.0,5.0,7.0,9.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar San Alberto Hurtado Red de Salud UC CHRISTUS,Puente Alto,LACTANCIA MATERNA EXCLUSIVA
