,Mes,IdServicio,IdEstablecimiento,CodigoPrestacion,IdRegion,IdComuna,1° mes,3° mes,6° mes,nombre_ss,nombre_establecimiento,nombre_comuna,Prestación,codigo_deis_establecimiento,codigo_deis_comuna,codigo_deis_servicio
75,3,12,112313,A0200001,13,13118,10,17,15,Servicio de Salud Metropolitano Oriente,Centro de Salud Familiar Santa Julia,Macul,MENORES CONTROLADOS,112313,13118,12
76,1,12,112310,A0200002,13,13120,9,10,7,Servicio de Salud Metropolitano Oriente,Centro de Salud Familiar Rosita Renard,Ñuñoa,LACTANCIA MATERNA EXCLUSIVA,112310,13120,12
77,2,11,111780,A0200001,13,13119,,,,Servicio de Salud Metropolitano Central,Centro Comunitario de Salud Familiar Europa,Maipú,MENORES CONTROLADOS,111780,13119,11
78,1,11,111308,A0200002,13,13119,11,10,9,Servicio de Salud Metropolitano Central,Centro de Salud Familiar Dr. José Eduardo Ahués Salame,Maipú,LACTANCIA MATERNA EXCLUSIVA,111308,13119,11
79,3,11,201674,A0200001,13,13119,14,11,16,Servicio de Salud Metropolitano Central,CESFAM El Abrazo Dr. Salvador Allende Gossens,Maipú,MENORES CONTROLADOS,201674,13119,11
80,2,11,111308,A0200002,13,13119,10,10,4,Servicio de Salud Metropolitano Central,Centro de Salud Familiar Dr. José Eduardo Ahués Salame,Maipú,LACTANCIA MATERNA EXCLUSIVA,111308,13119,11
81,1,11,111704,A0200001,13,13119,1,2,0,Servicio de Salud Metropolitano Central,Centro Comunitario de Salud Familiar Futramapu,Maipú,MENORES CONTROLADOS,111704,13119,11
82,3,11,111379,A0200002,13,13119,4,6,12,Servicio de Salud Metropolitano Central,Centro de Salud Familiar Clotario Blest,Maipú,LACTANCIA MATERNA EXCLUSIVA,111379,13119,11
83,1,12,200037,A0200002,13,13123,1,2,2,Servicio de Salud Metropolitano Oriente,Centro Comunitario de Salud Familiar Elena Caffarena,Providencia,LACTANCIA MATERNA EXCLUSIVA,200037,13123,12
84,3,11,111302,A0200001,13,13106,15,25,19,Servicio de Salud Metropolitano Central,Centro de Salud Familiar Padre Vicente Irarrázabal,Estación Central,MENORES CONTROLADOS,111302,13106,11
85,1,12,200037,A0200001,13,13123,2,4,3,Servicio de Salud Metropolitano Oriente,Centro Comunitario de Salud Familiar Elena Caffarena,Providencia,MENORES CONTROLADOS,200037,13123,12
86,1,12,200236,A0200002,13,13120,2,,3,Servicio de Salud Metropolitano Oriente,Centro Comunitario de Salud Familiar Villa Olímpica,Ñuñoa,LACTANCIA MATERNA EXCLUSIVA,200236,13120,12
87,1,12,200236,A0200001,13,13120,4,1,3,Servicio de Salud Metropolitano Oriente,Centro Comunitario de Salud Familiar Villa Olímpica,Ñuñoa,MENORES CONTROLADOS,200236,13120,12
88,2,12,112303,A0200002,13,13123,3,1,2,Servicio de Salud Metropolitano Oriente,Centro de Salud Familiar Aguilucho,Providencia,LACTANCIA MATERNA EXCLUSIVA,112303,13123,12
89,2,12,112303,A0200001,13,13123,3,1,2,Servicio de Salud Metropolitano Oriente,Centro de Salud Familiar Aguilucho,Providencia,MENORES CONTROLADOS,112303,13123,12
90,1,12,112304,A0200002,13,13114,2,3,2,Servicio de Salud Metropolitano Oriente,Centro de Salud Familiar Apoquindo,Las Condes,LACTANCIA MATERNA EXCLUSIVA,112304,13114,12
91,5,14,114331,A0200001,13,13110,28,21,21,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar La Florida,La Florida,MENORES CONTROLADOS,114331,13110,14
92,5,14,114331,A0200002,13,13110,22,12,13,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar La Florida,La Florida,LACTANCIA MATERNA EXCLUSIVA,114331,13110,14
93,5,14,114316,A0200002,13,13110,8,8,9,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Dr. Fernando Maffioletti,La Florida,LACTANCIA MATERNA EXCLUSIVA,114316,13110,14
94,5,14,114316,A0200001,13,13110,21,17,13,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Dr. Fernando Maffioletti,La Florida,MENORES CONTROLADOS,114316,13110,14
95,4,14,114316,A0200002,13,13110,8,9,7,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Dr. Fernando Maffioletti,La Florida,LACTANCIA MATERNA EXCLUSIVA,114316,13110,14
96,4,14,114316,A0200001,13,13110,11,13,15,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Dr. Fernando Maffioletti,La Florida,MENORES CONTROLADOS,114316,13110,14
97,2,14,114316,A0200001,13,13110,17,19,8,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Dr. Fernando Maffioletti,La Florida,MENORES CONTROLADOS,114316,13110,14
