,descripcion_prestacion,IdServicio,IdEstablecimiento,CodigoPrestacion,IdRegion,IdComuna,Maternidad,Neonatología,Pueblos originarios,Migrantes,nombre_ss,nombre_establecimiento,nombre_comuna
105,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),12,112101,24311027,13,13122,1,1,0,0,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén
106,RN egresados con madres acogidas a Ley 21.155,12,112101,29101772,13,13122,23,0,2,6,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén
107,RN egresados solo fórmula por protección o madre grave,12,112101,24311028,13,13122,0,7,0,0,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén
108,RN egresados solo fórmula por protección o madre grave,12,112101,24311028,13,13122,0,1,0,0,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén
109,Total de recién nacidos/as egresados/as,12,112101,24200134,13,13122,173,78,8,36,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén
110,RN egresados con LME durante hospitalización y al alta,12,112101,24300103,13,13122,123,6,6,24,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén
111,RN egresados que recuperaron LME al alta,12,112101,24311025,13,13122,6,23,0,0,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén
112,RN egresados con lactancia mixta al alta,12,112101,24311026,13,13122,22,43,0,0,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén
113,RN egresados con madres acogidas a Ley 21.155,12,112101,29101772,13,13122,22,0,2,4,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén
114,RN egresados solo fórmula por protección o madre grave,12,112101,24311028,13,13122,0,6,0,0,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén
115,RN egresados con madres acogidas a Ley 21.155,12,112101,29101772,13,13122,35,0,0,8,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén
116,RN egresados solo fórmula por protección o madre grave,12,112101,24311028,13,13122,0,1,0,0,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén
117,Total de recién nacidos/as egresados/as,12,112101,24200134,13,13122,189,76,9,42,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén
118,RN egresados con LME durante hospitalización y al alta,12,112101,24300103,13,13122,116,5,7,25,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén
119,RN egresados que recuperaron LME al alta,12,112101,24311025,13,13122,19,29,0,0,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén
120,RN egresados con lactancia mixta al alta,12,112101,24311026,13,13122,32,40,0,0,Servicio de Salud Metropolitano Oriente,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Peñalolén
