,descripcion_prestacion,IdServicio,IdEstablecimiento,CodigoPrestacion,IdRegion,IdComuna,Maternidad,Neonatología,Pueblos originarios,Migrantes,nombre_ss,nombre_establecimiento,nombre_comuna
417,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),11,111100,24311027,13,13101,0,5,0,3,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
418,RN egresados con madres acogidas a Ley 21.155,11,111100,29101772,13,13101,1,0,0,0,Servicio de Salud Metropolitano Central,Hospital Clínico San Borja Arriarán,Santiago
419,RN egresados solo fórmula por protección o madre grave,11,111101,24311028,13,13119,,1,0,0,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú
420,Total de recién nacidos/as egresados/as,11,111101,24200134,13,13119,145,39,10,37,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú
421,RN egresados con LME durante hospitalización y al alta,11,111101,24300103,13,13119,118,,8,30,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú
422,RN egresados que recuperaron LME al alta,11,111101,24311025,13,13119,9,4,0,2,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú
423,RN egresados con lactancia mixta al alta,11,111101,24311026,13,13119,16,30,1,5,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú
424,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),11,111101,24311027,13,13119,1,4,1,0,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú
425,RN egresados con madres acogidas a Ley 21.155,11,111101,29101772,13,13119,1,0,0,0,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú
426,RN egresados con lactancia mixta al alta,11,111101,24311026,13,13119,27,25,2,3,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú
427,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),11,111101,24311027,13,13119,3,1,0,0,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú
428,RN egresados con madres acogidas a Ley 21.155,11,111101,29101772,13,13119,2,,0,0,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú
429,Total de recién nacidos/as egresados/as,11,111101,24200134,13,13119,153,41,8,40,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú
430,RN egresados con LME durante hospitalización y al alta,11,111101,24300103,13,13119,116,,7,29,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú
431,RN egresados que recuperaron LME al alta,11,111101,24311025,13,13119,18,9,1,7,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú
432,RN egresados con lactancia mixta al alta,11,111101,24311026,13,13119,17,25,0,4,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú
433,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),11,111101,24311027,13,13119,2,5,0,0,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú
434,Total de recién nacidos/as egresados/as,11,111101,24200134,13,13119,172,37,10,28,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú
435,RN egresados con LME durante hospitalización y al alta,11,111101,24300103,13,13119,147,0,9,23,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú
436,RN egresados que recuperaron LME al alta,11,111101,24311025,13,13119,14,6,1,3,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú
437,RN egresados con lactancia mixta al alta,11,111101,24311026,13,13119,10,28,0,2,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú
438,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),11,111101,24311027,13,13119,,1,0,1,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú
439,RN egresados solo fórmula por protección o madre grave,11,111101,24311028,13,13119,1,1,0,0,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú
440,RN egresados solo fórmula por protección o madre grave,11,111101,24311028,13,13119,,1,0,0,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú
441,RN egresados solo fórmula por protección o madre grave,11,111101,24311028,13,13119,,3,0,0,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú
442,Total de recién nacidos/as egresados/as,11,111101,24200134,13,13119,122,32,12,31,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú
443,RN egresados con LME durante hospitalización y al alta,11,111101,24300103,13,13119,96,0,10,24,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú
444,RN egresados que recuperaron LME al alta,11,111101,24311025,13,13119,9,3,1,3,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú
445,RN egresados con lactancia mixta al alta,11,111101,24311026,13,13119,16,16,1,4,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú
446,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),11,111101,24311027,13,13119,,10,0,0,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú
447,RN egresados con madres acogidas a Ley 21.155,11,111101,29101772,13,13119,1,,0,0,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú
448,Total de recién nacidos/as egresados/as,11,111101,24200134,13,13119,147,27,11,41,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú
449,RN egresados con LME durante hospitalización y al alta,11,111101,24300103,13,13119,120,0,11,34,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú
450,RN egresados que recuperaron LME al alta,11,111101,24311025,13,13119,10,10,0,2,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú
451,RN egresados con lactancia mixta al alta,11,111101,24311026,13,13119,15,17,0,4,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú
452,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),11,111101,24311027,13,13119,1,1,0,0,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú
453,RN egresados con madres serología positiva (VIH),11,111101,29101770,13,13119,,1,0,0,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú
454,RN egresados con madres acogidas a Ley 21.155,11,111101,29101772,13,13119,1,,0,1,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú
455,Total de recién nacidos/as egresados/as,11,111101,24200134,13,13119,175,38,13,41,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú
456,RN egresados con LME durante hospitalización y al alta,11,111101,24300103,13,13119,140,,13,30,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú
457,RN egresados que recuperaron LME al alta,11,111101,24311025,13,13119,15,7,0,5,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú
458,RN egresados con lactancia mixta al alta,11,111101,24311026,13,13119,17,23,0,6,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú
459,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),11,111101,24311027,13,13119,2,5,0,0,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú
460,RN egresados con madres acogidas a Ley 21.155,11,111101,29101772,13,13119,1,,0,0,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú
461,Total de recién nacidos/as egresados/as,11,111101,24200134,13,13119,140,33,10,40,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú
462,RN egresados con LME durante hospitalización y al alta,11,111101,24300103,13,13119,115,,8,35,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú
463,RN egresados que recuperaron LME al alta,11,111101,24311025,13,13119,7,3,1,1,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú
464,RN egresados con lactancia mixta al alta,11,111101,24311026,13,13119,16,21,1,3,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú
465,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),11,111101,24311027,13,13119,1,1,0,1,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú
466,RN egresados con madres acogidas a Ley 21.155,11,111101,29101772,13,13119,1,,0,0,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú
467,RN egresados solo fórmula por protección o madre grave,11,111101,24311028,13,13119,,8,0,0,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú
468,Total de recién nacidos/as egresados/as,11,111101,24200134,13,13119,148,19,9,41,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú
469,RN egresados con LME durante hospitalización y al alta,11,111101,24300103,13,13119,113,,7,31,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú
470,RN egresados que recuperaron LME al alta,11,111101,24311025,13,13119,14,4,1,6,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú
471,RN egresados con lactancia mixta al alta,11,111101,24311026,13,13119,17,9,1,3,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú
472,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),11,111101,24311027,13,13119,4,3,0,1,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú
473,RN egresados solo fórmula por protección o madre grave,11,111101,24311028,13,13119,,2,0,0,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú
474,RN egresados solo fórmula por protección o madre grave,11,111101,24311028,13,13119,,3,0,0,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú
475,Total de recién nacidos/as egresados/as,11,111101,24200134,13,13119,172,31,7,43,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú
476,RN egresados con LME durante hospitalización y al alta,11,111101,24300103,13,13119,140,,6,33,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú
477,RN egresados que recuperaron LME al alta,11,111101,24311025,13,13119,15,9,1,7,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú
478,RN egresados con lactancia mixta al alta,11,111101,24311026,13,13119,15,19,0,3,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú
479,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),11,111101,24311027,13,13119,1,3,0,0,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú
480,RN egresados con madres acogidas a Ley 21.155,11,111101,29101772,13,13119,1,0,0,0,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú
481,RN egresados solo fórmula por protección o madre grave,11,111101,24311028,13,13119,,2,0,0,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú
482,Total de recién nacidos/as egresados/as,11,111101,24200134,13,13119,130,32,11,36,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú
483,RN egresados con LME durante hospitalización y al alta,11,111101,24300103,13,13119,108,,8,29,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú
484,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),11,111101,24311027,13,13119,1,3,0,0,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú
485,Total de recién nacidos/as egresados/as,11,111101,24200134,13,13119,166,46,6,42,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú
486,RN egresados con LME durante hospitalización y al alta,11,111101,24300103,13,13119,132,,6,34,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú
487,RN egresados que recuperaron LME al alta,11,111101,24311025,13,13119,20,5,0,7,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú
488,RN egresados con lactancia mixta al alta,11,111101,24311026,13,13119,13,37,0,1,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú
489,RN egresados que recuperaron LME al alta,11,111101,24311025,13,13119,13,5,1,5,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú
490,RN egresados con lactancia mixta al alta,11,111101,24311026,13,13119,8,21,2,2,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú
491,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),11,111101,24311027,13,13119,1,4,0,0,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú
492,RN egresados solo fórmula por protección o madre grave,11,111101,24311028,13,13119,,2,0,0,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú
493,Total de recién nacidos/as egresados/as,11,111101,24200134,13,13119,155,35,9,27,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú
494,RN egresados con LME durante hospitalización y al alta,11,111101,24300103,13,13119,108,,7,1,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú
495,RN egresados que recuperaron LME al alta,11,111101,24311025,13,13119,15,7,0,3,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú
496,RN egresados solo fórmula por protección o madre grave,9,109100,24311028,13,13108,0,5,0,1,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
497,Total de recién nacidos/as egresados/as,9,109100,24200134,13,13108,337,95,0,144,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
498,RN egresados con LME durante hospitalización y al alta,9,109100,24300103,13,13108,285,0,0,125,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
499,RN egresados que recuperaron LME al alta,9,109100,24311025,13,13108,41,47,0,21,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
500,RN egresados con lactancia mixta al alta,9,109100,24311026,13,13108,48,3,0,14,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
501,RN egresados con madres serología positiva (VIH),9,109100,29101770,13,13108,1,0,0,1,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
502,RN egresados que recuperaron LME al alta,9,109100,24311025,13,13108,39,28,0,26,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
503,Total de recién nacidos/as egresados/as,9,109100,24200134,13,13108,383,89,0,190,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
504,RN egresados con LME durante hospitalización y al alta,9,109100,24300103,13,13108,222,33,0,107,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
505,RN egresados que recuperaron LME al alta,9,109100,24311025,13,13108,39,0,0,0,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
506,RN egresados con lactancia mixta al alta,9,109100,24311026,13,13108,46,1,0,25,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
507,RN egresados con madres serología positiva (VIH),9,109100,29101770,13,13108,1,0,0,1,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
508,RN egresados con lactancia mixta al alta,9,109100,24311026,13,13108,27,45,0,24,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
509,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),9,109100,24311027,13,13108,4,2,0,5,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
510,RN egresados con lactancia mixta al alta,9,109100,24311026,13,13108,54,0,0,21,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
511,RN egresados con madres serología positiva (VIH),9,109100,29101770,13,13108,1,0,0,0,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
512,RN egresados con madres acogidas a Ley 21.155,9,109100,29101772,13,13108,1,0,0,0,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
513,RN egresados que recuperaron LME al alta,9,109100,24311025,13,13108,57,0,0,19,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
514,RN egresados con madres serología positiva (VIH),9,109100,29101770,13,13108,3,0,0,3,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
515,RN egresados con madres acogidas a Ley 21.155,9,109100,29101772,13,13108,1,0,0,1,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
516,RN egresados con madres serología positiva (VIH),9,109100,29101770,13,13108,1,0,0,1,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
517,RN egresados con madres acogidas a Ley 21.155,9,109100,29101772,13,13108,1,0,0,1,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
518,RN egresados solo fórmula por protección o madre grave,9,109100,24311028,13,13108,1,0,0,0,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
519,RN egresados con lactancia mixta al alta,9,109100,24311026,13,13108,28,0,0,11,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
520,RN egresados con madres acogidas a Ley 21.155,9,109100,29101772,13,13108,1,0,0,0,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
521,RN egresados que recuperaron LME al alta,9,109100,24311025,13,13108,45,0,0,20,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
522,RN egresados con lactancia mixta al alta,9,109100,24311026,13,13108,54,0,0,28,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
523,RN egresados con LME durante hospitalización y al alta,9,109100,24300103,13,13108,275,31,0,142,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
524,RN egresados que recuperaron LME al alta,9,109100,24311025,13,13108,16,1,0,0,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
525,RN egresados con lactancia mixta al alta,9,109100,24311026,13,13108,43,0,0,0,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
526,RN egresados con madres serología positiva (VIH),9,109100,29101770,13,13108,1,0,0,1,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
527,RN egresados con madres acogidas a Ley 21.155,9,109100,29101772,13,13108,3,0,0,0,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
528,Total de recién nacidos/as egresados/as,9,109100,24200134,13,13108,334,87,0,191,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
529,RN egresados con LME durante hospitalización y al alta,9,109100,24300103,13,13108,178,1,0,104,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
530,RN egresados que recuperaron LME al alta,9,109100,24311025,13,13108,41,26,0,31,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
531,Total de recién nacidos/as egresados/as,9,109100,24200134,13,13108,411,93,0,194,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
532,RN egresados con LME durante hospitalización y al alta,9,109100,24300103,13,13108,244,2,0,123,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
533,RN egresados que recuperaron LME al alta,9,109100,24311025,13,13108,53,33,0,14,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
534,RN egresados con lactancia mixta al alta,9,109100,24311026,13,13108,28,0,0,11,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
535,RN egresados con madres serología positiva (VIH),9,109100,29101770,13,13108,2,0,0,1,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
536,RN egresados con madres acogidas a Ley 21.155,9,109100,29101772,13,13108,1,0,0,1,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
537,RN egresados solo fórmula por protección o madre grave,9,109100,24311028,13,13108,1,0,0,0,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
538,Total de recién nacidos/as egresados/as,9,109100,24200134,13,13108,314,94,0,183,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
539,Total de recién nacidos/as egresados/as,9,109100,24200134,13,13108,397,85,0,163,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
540,RN egresados con LME durante hospitalización y al alta,9,109100,24300103,13,13108,288,30,0,135,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
541,RN egresados que recuperaron LME al alta,9,109100,24311025,13,13108,11,0,0,6,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
542,Total de recién nacidos/as egresados/as,9,109100,24200134,13,13108,235,82,0,135,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
543,RN egresados con LME durante hospitalización y al alta,9,109100,24300103,13,13108,260,28,0,118,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
544,Total de recién nacidos/as egresados/as,9,109100,24200134,13,13108,411,88,0,175,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
545,RN egresados con LME durante hospitalización y al alta,9,109100,24300103,13,13108,293,29,0,143,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
546,RN egresados que recuperaron LME al alta,9,109100,24311025,13,13108,19,2,0,8,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
547,RN egresados con lactancia mixta al alta,9,109100,24311026,13,13108,24,0,0,9,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
548,RN egresados con madres serología positiva (VIH),9,109100,29101770,13,13108,3,0,0,2,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
549,Total de recién nacidos/as egresados/as,9,109100,24200134,13,13108,347,72,0,180,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
550,RN egresados con LME durante hospitalización y al alta,9,109100,24300103,13,13108,244,0,0,115,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
551,RN egresados que recuperaron LME al alta,9,109100,24311025,13,13108,3,16,0,9,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
552,RN egresados con lactancia mixta al alta,9,109100,24311026,13,13108,49,50,0,35,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
553,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),9,109100,24311027,13,13108,1,1,0,1,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
554,RN egresados con madres acogidas a Ley 21.155,9,109100,29101772,13,13108,1,1,0,0,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
555,RN egresados con lactancia mixta al alta,9,109100,24311026,13,13108,43,55,0,35,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
556,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),9,109100,24311027,13,13108,0,6,0,0,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
557,RN egresados con madres serología positiva (VIH),9,109100,29101770,13,13108,1,0,0,1,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
