,descripcion_prestacion,Mes,IdServicio,Ano,IdEstablecimiento,CodigoPrestacion,IdRegion,IdComuna,Maternidad,Neonatología,Pueblos originarios,Migrantes,nombre_ss,nombre_establecimiento,nombre_comuna
1710199,RN egresados con madres acogidas a Ley 21.155,5,9,2024,109100,29101772,13,13108,3.0,0.0,0.0,0.0,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
1710200,Egresados con lactancia materna exclusiva (código histórico),5,9,2024,109100,24200100,13,13108,331.0,72.0,0.0,152.0,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
1713926,Total de recién nacidos/as egresados/as,1,9,2024,109100,24200134,13,13108,436.0,92.0,0.0,252.0,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
1713927,RN egresados con LME durante hospitalización y al alta,1,9,2024,109100,24300103,13,13108,355.0,6.0,0.0,176.0,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
1713928,RN egresados con madres serología positiva (VIH),1,9,2024,109100,29101770,13,13108,1.0,0.0,0.0,1.0,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
1713929,RN egresados con madres acogidas a Ley 21.155,1,9,2024,109100,29101772,13,13108,1.0,0.0,0.0,1.0,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
1713930,Egresados con lactancia materna exclusiva (código histórico),1,9,2024,109100,24200100,13,13108,367.0,49.0,0.0,205.0,Servicio de Salud Metropolitano Norte,"Complejo Hospitalario San José (Santiago, Independencia)",Independencia
2134961,Total de recién nacidos/as egresados/as,7,10,2024,110100,24200134,13,13101,166.0,5.0,8.0,89.0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
2134962,RN egresados con LME durante hospitalización y al alta,7,10,2024,110100,24300103,13,13101,100.0,,3.0,40.0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
2134963,RN egresados con madres acogidas a Ley 21.155,7,10,2024,110100,29101772,13,13101,8.0,,1.0,3.0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
2134964,Egresados con lactancia materna exclusiva (código histórico),7,10,2024,110100,24200100,13,13101,141.0,5.0,6.0,54.0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
2135388,Total de recién nacidos/as egresados/as,12,10,2024,110100,24200134,13,13101,139.0,5.0,7.0,42.0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
2135389,RN egresados con LME durante hospitalización y al alta,12,10,2024,110100,24300103,13,13101,83.0,,11.0,23.0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
2135390,RN egresados con madres serología positiva (VIH),12,10,2024,110100,29101770,13,13101,1.0,,0.0,1.0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
2135391,RN egresados con madres acogidas a Ley 21.155,12,10,2024,110100,29101772,13,13101,5.0,,1.0,0.0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
